XP	start	end	chr
XP_022320080.1	50076617	50086672	NC_035782.1
XP_022320081.1	54123111	54124628	NC_035782.1
XP_022320082.1	54123111	54124628	NC_035782.1
XP_022320083.1	54123111	54124628	NC_035782.1
XP_022320084.1	14056376	14072328	NC_035782.1
XP_022320085.1	64201713	64211404	NC_035780.1
XP_022320086.1	27658297	27662911	NC_035782.1
XP_022320087.1	51014033	51018545	NC_035782.1
XP_022320088.1	11438958	11440092	NC_035782.1
XP_022320089.1	11438958	11440092	NC_035782.1
XP_022320090.1	38540810	38546534	NC_035782.1
XP_022320091.1	68235601	68236469	NC_035782.1
XP_022320092.1	68235601	68249825	NC_035782.1
XP_022320093.1	68248974	68249825	NC_035782.1
XP_022320094.1	64201713	64211404	NC_035780.1
XP_022320095.1	68248974	68249825	NC_035782.1
XP_022320096.1	68248974	68249825	NC_035782.1
XP_022320097.1	68248974	68249825	NC_035782.1
XP_022320098.1	68253323	68254172	NC_035782.1
XP_022320099.1	68255961	68256825	NC_035782.1
XP_022320100.1	20012336	20023847	NC_035782.1
XP_022320101.1	20012336	20023431	NC_035782.1
XP_022320102.1	20012336	20023847	NC_035782.1
XP_022320103.1	17328777	17332516	NC_035782.1
XP_022320104.1	64091121	64095460	NC_035782.1
XP_022320105.1	2722956	2733176	NC_035782.1
XP_022320106.1	2734784	2746258	NC_035782.1
XP_022320107.1	44135607	44143046	NC_035780.1
XP_022320108.1	2734784	2746258	NC_035782.1
XP_022320109.1	2734784	2746258	NC_035782.1
XP_022320110.1	2734784	2746258	NC_035782.1
XP_022320111.1	59618509	59620972	NC_035782.1
XP_022320112.1	43168611	43168611	NC_035782.1
XP_022320113.1	43168611	43168611	NC_035782.1
XP_022320114.1	34597580	34597580	NC_035782.1
XP_022320115.1	34597580	34597580	NC_035782.1
XP_022320116.1	44138675	44143046	NC_035780.1
XP_022320117.1	34597580	34597580	NC_035782.1
XP_022320118.1	34597580	34597580	NC_035782.1
XP_022320119.1	34597580	34597580	NC_035782.1
XP_022320120.1	34597580	34597580	NC_035782.1
XP_022320121.1	34597580	34597580	NC_035782.1
XP_022320122.1	34597580	34597580	NC_035782.1
XP_022320123.1	34831042	34882822	NC_035782.1
XP_022320124.1	34951724	35046929	NC_035782.1
XP_022320125.1	34951724	35051215	NC_035782.1
XP_022320126.1	34951724	35051215	NC_035782.1
XP_022320127.1	34951724	35081793	NC_035782.1
XP_022320128.1	34951724	35048418	NC_035782.1
XP_022320129.1	35076819	35081793	NC_035782.1
XP_022320130.1	35052692	35055079	NC_035782.1
XP_022320131.1	7138281	7143267	NC_035780.1
XP_022320132.1	35267498	35267498	NC_035782.1
XP_022320133.1	58805641	58807436	NC_035782.1
XP_022320134.1	39292906	39299357	NC_035782.1
XP_022320135.1	69411032	69411032	NC_035782.1
XP_022320136.1	68815032	68816456	NC_035782.1
XP_022320137.1	9073849	9074973	NC_035782.1
XP_022320138.1	17802541	17811045	NC_035780.1
XP_022320139.1	38010617	38040302	NC_035782.1
XP_022320140.1	9188211	9234026	NC_035782.1
XP_022320141.1	9188211	9234026	NC_035782.1
XP_022320142.1	9188211	9234026	NC_035782.1
XP_022320143.1	9188211	9234026	NC_035782.1
XP_022320144.1	9188211	9234026	NC_035782.1
XP_022320145.1	9188211	9234026	NC_035782.1
XP_022320146.1	18977033	18977033	NC_035782.1
XP_022320147.1	17809345	17811045	NC_035780.1
XP_022320148.1	72655353	72667943	NC_035782.1
XP_022320149.1	47788093	47789555	NC_035782.1
XP_022320150.1	2676408	2700691	NC_035782.1
XP_022320151.1	72254462	72264282	NC_035782.1
XP_022320152.1	72254462	72262732	NC_035782.1
XP_022320153.1	42876465	42880972	NC_035782.1
XP_022320154.1	42876465	42880972	NC_035782.1
XP_022320155.1	42876465	42880972	NC_035782.1
XP_022320156.1	17802541	17803917	NC_035780.1
XP_022320157.1	42876465	42881799	NC_035782.1
XP_022320158.1	55973323	55976969	NC_035782.1
XP_022320159.1	55353062	55374103	NC_035782.1
XP_022320160.1	55353062	55374103	NC_035782.1
XP_022320161.1	55353062	55374103	NC_035782.1
XP_022320162.1	55353062	55374103	NC_035782.1
XP_022320163.1	5353266	5377819	NC_035782.1
XP_022320164.1	5353266	5377819	NC_035782.1
XP_022320165.1	5353266	5377819	NC_035782.1
XP_022320166.1	5378592	5378592	NC_035782.1
XP_022320167.1	58837049	58841332	NC_035782.1
XP_022320168.1	5405044	5418527	NC_035780.1
XP_022320169.1	7335905	7336422	NC_035782.1
XP_022320170.1	37081099	37145817	NC_035782.1
XP_022320171.1	37081099	37145817	NC_035782.1
XP_022320172.1	37081099	37145817	NC_035782.1
XP_022320173.1	34841745	34841745	NC_035780.1
XP_022320174.1	37081099	37145817	NC_035782.1
XP_022320175.1	37081099	37145817	NC_035782.1
XP_022320176.1	37081099	37145817	NC_035782.1
XP_022320177.1	37081099	37145817	NC_035782.1
XP_022320178.1	37081099	37145817	NC_035782.1
XP_022320179.1	5405044	5418527	NC_035780.1
XP_022320180.1	37081099	37145817	NC_035782.1
XP_022320181.1	37081099	37145817	NC_035782.1
XP_022320182.1	37081099	37145817	NC_035782.1
XP_022320183.1	37081099	37145817	NC_035782.1
XP_022320184.1	37081099	37145817	NC_035782.1
XP_022320185.1	37081099	37145817	NC_035782.1
XP_022320186.1	37081099	37145817	NC_035782.1
XP_022320187.1	37103873	37105181	NC_035782.1
XP_022320188.1	75553666	75553666	NC_035782.1
XP_022320189.1	5405044	5418527	NC_035780.1
XP_022320190.1	49055795	49060983	NC_035782.1
XP_022320191.1	49055795	49060983	NC_035782.1
XP_022320192.1	49055795	49060983	NC_035782.1
XP_022320193.1	51254290	51254290	NC_035782.1
XP_022320194.1	51264844	51276767	NC_035782.1
XP_022320195.1	51264844	51276767	NC_035782.1
XP_022320196.1	51264844	51276767	NC_035782.1
XP_022320197.1	51257762	51262783	NC_035782.1
XP_022320198.1	5405044	5417809	NC_035780.1
XP_022320199.1	51278661	51280492	NC_035782.1
XP_022320200.1	14919523	14925074	NC_035782.1
XP_022320201.1	55449793	55472959	NC_035782.1
XP_022320202.1	45022766	45025264	NC_035782.1
XP_022320203.1	45022766	45025264	NC_035782.1
XP_022320204.1	45022766	45025264	NC_035782.1
XP_022320205.1	45022766	45025264	NC_035782.1
XP_022320206.1	5405044	5417809	NC_035780.1
XP_022320207.1	36381193	36388705	NC_035782.1
XP_022320208.1	61354075	61366090	NC_035782.1
XP_022320209.1	61354075	61366090	NC_035782.1
XP_022320210.1	61385415	61390334	NC_035782.1
XP_022320211.1	61374119	61385110	NC_035782.1
XP_022320212.1	61366916	61371519	NC_035782.1
XP_022320213.1	7521176	7521176	NC_035782.1
XP_022320214.1	5405044	5418527	NC_035780.1
XP_022320215.1	51532872	51532872	NC_035782.1
XP_022320216.1	51531088	51531088	NC_035782.1
XP_022320217.1	47283036	47288227	NC_035782.1
XP_022320218.1	47283119	47288227	NC_035782.1
XP_022320219.1	26737918	26748818	NC_035782.1
XP_022320220.1	26737918	26745902	NC_035782.1
XP_022320221.1	26737918	26737918	NC_035782.1
XP_022320222.1	42518830	42519823	NC_035782.1
XP_022320223.1	48222973	48222973	NC_035782.1
XP_022320224.1	7614258	7616906	NC_035782.1
XP_022320225.1	54194223	54197718	NC_035782.1
XP_022320226.1	51698122	51703201	NC_035780.1
XP_022320227.1	54194223	54197718	NC_035782.1
XP_022320228.1	57700399	57710452	NC_035782.1
XP_022320229.1	74886838	74888605	NC_035782.1
XP_022320230.1	74886998	74888605	NC_035782.1
XP_022320231.1	20117007	20134406	NC_035782.1
XP_022320232.1	20122656	20134406	NC_035782.1
XP_022320233.1	20121144	20134406	NC_035782.1
XP_022320234.1	4701129	4714209	NC_035782.1
XP_022320235.1	7911567	7920235	NC_035782.1
XP_022320236.1	58553060	58556263	NC_035782.1
XP_022320237.1	44471972	44502337	NC_035782.1
XP_022320238.1	44471972	44502337	NC_035782.1
XP_022320239.1	5329439	5345431	NC_035780.1
XP_022320240.1	44471972	44502337	NC_035782.1
XP_022320241.1	40976328	40978100	NC_035782.1
XP_022320242.1	40976328	40978100	NC_035782.1
XP_022320243.1	40976328	40978100	NC_035782.1
XP_022320244.1	21459806	21476709	NC_035782.1
XP_022320245.1	42697472	42701492	NC_035782.1
XP_022320246.1	12256391	12262296	NC_035782.1
XP_022320247.1	5329439	5345431	NC_035780.1
XP_022320248.1	12252288	12252288	NC_035782.1
XP_022320249.1	11952684	11953873	NC_035782.1
XP_022320250.1	69717139	69732401	NC_035782.1
XP_022320251.1	69717139	69732401	NC_035782.1
XP_022320252.1	69717139	69732401	NC_035782.1
XP_022320253.1	69717139	69732401	NC_035782.1
XP_022320254.1	7941736	7945416	NC_035782.1
XP_022320255.1	20594781	20603058	NC_035782.1
XP_022320256.1	37310185	37317713	NC_035782.1
XP_022320257.1	8055981	8059143	NC_035782.1
XP_022320258.1	8056175	8059143	NC_035782.1
XP_022320259.1	10471752	10474434	NC_035780.1
XP_022320260.1	61016446	61016999	NC_035782.1
XP_022320261.1	64039056	64040570	NC_035782.1
XP_022320262.1	64043987	64049312	NC_035782.1
XP_022320263.1	64043987	64049312	NC_035782.1
XP_022320264.1	7960476	7960476	NC_035782.1
XP_022320265.1	23777314	23779320	NC_035782.1
XP_022320266.1	10471752	10474434	NC_035780.1
XP_022320267.1	30513581	30562686	NC_035782.1
XP_022320268.1	30513581	30562686	NC_035782.1
XP_022320269.1	30513581	30562686	NC_035782.1
XP_022320270.1	30513581	30562686	NC_035782.1
XP_022320271.1	30530765	30562686	NC_035782.1
XP_022320272.1	7977306	7978102	NC_035782.1
XP_022320273.1	73320955	73323009	NC_035782.1
XP_022320274.1	8078385	8085790	NC_035782.1
XP_022320275.1	32836948	32837908	NC_035782.1
XP_022320276.1	72131966	72131966	NC_035782.1
XP_022320277.1	33713693	33715840	NC_035782.1
XP_022320278.1	23318748	23332136	NC_035780.1
XP_022320279.1	8147658	8150992	NC_035782.1
XP_022320280.1	54419854	54421135	NC_035782.1
XP_022320281.1	55881155	55890392	NC_035782.1
XP_022320282.1	55902171	55919805	NC_035782.1
XP_022320283.1	55874547	55880183	NC_035782.1
XP_022320284.1	55861435	55870475	NC_035782.1
XP_022320285.1	19545000	19572462	NC_035782.1
XP_022320286.1	19554925	19572462	NC_035782.1
XP_022320287.1	58288484	58297495	NC_035782.1
XP_022320288.1	58288484	58297495	NC_035782.1
XP_022320289.1	6912294	6931101	NC_035780.1
XP_022320290.1	58288484	58297495	NC_035782.1
XP_022320291.1	58288484	58297495	NC_035782.1
XP_022320292.1	58288484	58297495	NC_035782.1
XP_022320293.1	58288484	58297495	NC_035782.1
XP_022320294.1	58288484	58297495	NC_035782.1
XP_022320295.1	58288484	58297495	NC_035782.1
XP_022320296.1	58886382	58893088	NC_035782.1
XP_022320297.1	19418981	19419959	NC_035782.1
XP_022320298.1	74727812	74734736	NC_035782.1
XP_022320299.1	75768220	75785715	NC_035782.1
XP_022320300.1	52934891	52937678	NC_035782.1
XP_022320301.1	21532301	21540738	NC_035780.1
XP_022320302.1	3631211	3634725	NC_035782.1
XP_022320303.1	40458428	40462334	NC_035782.1
XP_022320304.1	40770190	40773691	NC_035782.1
XP_022320305.1	8316787	8321834	NC_035782.1
XP_022320306.1	7359303	7393059	NC_035782.1
XP_022320307.1	7359303	7393059	NC_035782.1
XP_022320308.1	7359303	7374784	NC_035782.1
XP_022320309.1	21532301	21540738	NC_035780.1
XP_022320310.1	73587078	73588685	NC_035782.1
XP_022320311.1	8330608	8330608	NC_035782.1
XP_022320312.1	18328355	18330572	NC_035782.1
XP_022320313.1	38871697	38873700	NC_035782.1
XP_022320314.1	58789307	58805093	NC_035782.1
XP_022320315.1	46486570	46508884	NC_035782.1
XP_022320316.1	51118703	51124566	NC_035782.1
XP_022320317.1	61714627	61718365	NC_035782.1
XP_022320318.1	8385571	8385571	NC_035782.1
XP_022320319.1	25297252	25301384	NC_035782.1
XP_022320320.1	27728445	27731686	NC_035782.1
XP_022320321.1	27728445	27731021	NC_035782.1
XP_022320322.1	27728445	27730645	NC_035782.1
XP_022320323.1	27726203	27726203	NC_035782.1
XP_022320324.1	33514728	33514728	NC_035782.1
XP_022320325.1	63789575	63791616	NC_035780.1
XP_022320326.1	31945223	31971895	NC_035782.1
XP_022320327.1	31939483	31943572	NC_035782.1
XP_022320328.1	31939483	31943572	NC_035782.1
XP_022320329.1	31939483	31943572	NC_035782.1
XP_022320330.1	49976023	49982235	NC_035782.1
XP_022320331.1	49976023	49982241	NC_035782.1
XP_022320332.1	61346695	61351753	NC_035782.1
XP_022320333.1	56641776	56646994	NC_035780.1
XP_022320334.1	63758513	63764347	NC_035780.1
XP_022320335.1	28285331	28287388	NC_035782.1
XP_022320336.1	75630569	75636446	NC_035782.1
XP_022320337.1	10086387	10089047	NC_035782.1
XP_022320338.1	11484752	11517700	NC_035782.1
XP_022320339.1	11484752	11517700	NC_035782.1
XP_022320340.1	63758513	63764347	NC_035780.1
XP_022320341.1	11555961	11561499	NC_035782.1
XP_022320342.1	11558138	11561499	NC_035782.1
XP_022320343.1	11692361	11695390	NC_035782.1
XP_022320344.1	11543811	11543811	NC_035782.1
XP_022320345.1	11543811	11543811	NC_035782.1
XP_022320346.1	11605111	11608765	NC_035782.1
XP_022320347.1	11619622	11636284	NC_035782.1
XP_022320348.1	11628055	11636284	NC_035782.1
XP_022320349.1	63758513	63764347	NC_035780.1
XP_022320350.1	11691796	11693595	NC_035782.1
XP_022320351.1	11691796	11693595	NC_035782.1
XP_022320352.1	11773492	11779171	NC_035782.1
XP_022320353.1	11773492	11788175	NC_035782.1
XP_022320354.1	11773492	11788175	NC_035782.1
XP_022320355.1	11773492	11788175	NC_035782.1
XP_022320356.1	11773492	11798305	NC_035782.1
XP_022320357.1	11773492	11781343	NC_035782.1
XP_022320358.1	11773492	11777678	NC_035782.1
XP_022320359.1	63758513	63791616	NC_035780.1
XP_022320360.1	11773492	11791806	NC_035782.1
XP_022320361.1	11773492	11782472	NC_035782.1
XP_022320362.1	11802173	11805050	NC_035782.1
XP_022320363.1	11687607	11687823	NC_035782.1
XP_022320364.1	11681128	11681525	NC_035782.1
XP_022320365.1	11672612	11673003	NC_035782.1
XP_022320366.1	11660826	11661264	NC_035782.1
XP_022320367.1	11536854	11542745	NC_035782.1
XP_022320368.1	11589820	11593575	NC_035782.1
XP_022320369.1	11569667	11571182	NC_035782.1
XP_022320370.1	11564652	11565754	NC_035782.1
XP_022320371.1	63806476	63817613	NC_035780.1
XP_022320372.1	11720429	11721899	NC_035782.1
XP_022320373.1	11809143	11811285	NC_035782.1
XP_022320374.1	11596661	11599354	NC_035782.1
XP_022320375.1	73325339	73334342	NC_035782.1
XP_022320376.1	8588268	8600690	NC_035782.1
XP_022320377.1	24116	24669	NC_035782.1
XP_022320378.1	54884847	54924911	NC_035782.1
XP_022320379.1	54884847	54924911	NC_035782.1
XP_022320380.1	54884847	54924911	NC_035782.1
XP_022320381.1	54884847	54924911	NC_035782.1
XP_022320382.1	54884847	54924911	NC_035782.1
XP_022320383.1	54884847	54924911	NC_035782.1
XP_022320384.1	54884847	54924911	NC_035782.1
XP_022320385.1	54884847	54924911	NC_035782.1
XP_022320386.1	54884847	54924911	NC_035782.1
XP_022320387.1	54884847	54924911	NC_035782.1
XP_022320388.1	54884847	54924911	NC_035782.1
XP_022320389.1	54884847	54924911	NC_035782.1
XP_022320390.1	54884847	54924911	NC_035782.1
XP_022320391.1	54884847	54924911	NC_035782.1
XP_022320392.1	54884847	54924911	NC_035782.1
XP_022320393.1	54884847	54924911	NC_035782.1
XP_022320394.1	54884847	54924911	NC_035782.1
XP_022320395.1	54884847	54924911	NC_035782.1
XP_022320396.1	54884847	54924911	NC_035782.1
XP_022320397.1	54884847	54924911	NC_035782.1
XP_022320398.1	54884847	54924911	NC_035782.1
XP_022320399.1	54884847	54924911	NC_035782.1
XP_022320400.1	54884847	54924911	NC_035782.1
XP_022320401.1	54884847	54924911	NC_035782.1
XP_022320402.1	54884847	54924911	NC_035782.1
XP_022320403.1	54884847	54924911	NC_035782.1
XP_022320404.1	54884847	54914145	NC_035782.1
XP_022320405.1	54884847	54924911	NC_035782.1
XP_022320406.1	54884847	54912015	NC_035782.1
XP_022320407.1	54884847	54924911	NC_035782.1
XP_022320408.1	54884847	54924911	NC_035782.1
XP_022320409.1	5235567	5239976	NC_035782.1
XP_022320410.1	5237413	5239976	NC_035782.1
XP_022320411.1	5264564	5266284	NC_035782.1
XP_022320412.1	50403521	50404041	NC_035780.1
XP_022320413.1	14176987	14176987	NC_035782.1
XP_022320414.1	14176987	14176987	NC_035782.1
XP_022320415.1	60984600	60984600	NC_035780.1
XP_022320416.1	10064539	10064539	NC_035782.1
XP_022320417.1	10055159	10055159	NC_035782.1
XP_022320418.1	10070173	10070504	NC_035782.1
XP_022320419.1	10070173	10070504	NC_035782.1
XP_022320420.1	29527563	29534856	NC_035782.1
XP_022320421.1	29535315	29536512	NC_035782.1
XP_022320422.1	21316953	21321148	NC_035782.1
XP_022320423.1	26108310	26108310	NC_035780.1
XP_022320424.1	8757768	8761254	NC_035782.1
XP_022320425.1	6281594	6285512	NC_035782.1
XP_022320426.1	6281594	6284873	NC_035782.1
XP_022320427.1	8822252	8827897	NC_035782.1
XP_022320428.1	56482427	56482427	NC_035782.1
XP_022320429.1	70673859	70673859	NC_035782.1
XP_022320430.1	65048304	65052788	NC_035782.1
XP_022320431.1	8904611	8914987	NC_035782.1
XP_022320432.1	56929020	56938106	NC_035782.1
XP_022320433.1	39799877	39807785	NC_035780.1
XP_022320434.1	36144831	36212642	NC_035782.1
XP_022320435.1	41442988	41450059	NC_035782.1
XP_022320436.1	29937974	29981168	NC_035782.1
XP_022320437.1	29937974	29981168	NC_035782.1
XP_022320438.1	29937974	29981168	NC_035782.1
XP_022320439.1	29937974	29981168	NC_035782.1
XP_022320440.1	15119914	15122063	NC_035782.1
XP_022320441.1	74285654	74291594	NC_035782.1
XP_022320442.1	8703029	8726245	NC_035782.1
XP_022320443.1	8703029	8726245	NC_035782.1
XP_022320444.1	8703029	8726245	NC_035782.1
XP_022320445.1	8703029	8726245	NC_035782.1
XP_022320446.1	17410560	17411834	NC_035780.1
XP_022320447.1	8703029	8726245	NC_035782.1
XP_022320448.1	8703029	8726245	NC_035782.1
XP_022320449.1	8705189	8726245	NC_035782.1
XP_022320450.1	8705713	8726245	NC_035782.1
XP_022320451.1	8705584	8726245	NC_035782.1
XP_022320452.1	8643981	8671685	NC_035782.1
XP_022320453.1	8643981	8671685	NC_035782.1
XP_022320454.1	8643981	8671685	NC_035782.1
XP_022320455.1	17299603	17299603	NC_035782.1
XP_022320456.1	56635487	56638856	NC_035780.1
XP_022320457.1	17299603	17299603	NC_035782.1
XP_022320458.1	17299603	17299603	NC_035782.1
XP_022320459.1	17299603	17299603	NC_035782.1
XP_022320460.1	17299603	17299603	NC_035782.1
XP_022320461.1	66912133	66921140	NC_035782.1
XP_022320462.1	20460105	20462468	NC_035780.1
XP_022320463.1	66912133	66921140	NC_035782.1
XP_022320464.1	66912133	66921140	NC_035782.1
XP_022320465.1	66922339	66943673	NC_035782.1
XP_022320466.1	66922339	66943673	NC_035782.1
XP_022320467.1	66934482	66943673	NC_035782.1
XP_022320468.1	66929079	66943673	NC_035782.1
XP_022320469.1	66929079	66943673	NC_035782.1
XP_022320470.1	66922339	66943673	NC_035782.1
XP_022320471.1	66922339	66943673	NC_035782.1
XP_022320472.1	20460105	20462468	NC_035780.1
XP_022320473.1	66932315	66943673	NC_035782.1
XP_022320474.1	66897658	66910753	NC_035782.1
XP_022320475.1	23851304	23857919	NC_035782.1
XP_022320476.1	51178241	51178241	NC_035782.1
XP_022320477.1	8936716	8938081	NC_035782.1
XP_022320478.1	44677699	44731274	NC_035782.1
XP_022320479.1	44677699	44731274	NC_035782.1
XP_022320480.1	44677699	44731274	NC_035782.1
XP_022320481.1	20460105	20462468	NC_035780.1
XP_022320482.1	44677699	44731274	NC_035782.1
XP_022320483.1	44677699	44731274	NC_035782.1
XP_022320484.1	44677699	44731274	NC_035782.1
XP_022320485.1	44677699	44731274	NC_035782.1
XP_022320486.1	44677699	44731274	NC_035782.1
XP_022320487.1	44677699	44731274	NC_035782.1
XP_022320488.1	44677699	44719822	NC_035782.1
XP_022320489.1	44677699	44716888	NC_035782.1
XP_022320490.1	44677699	44710395	NC_035782.1
XP_022320491.1	44677699	44701084	NC_035782.1
XP_022320492.1	20460105	20462468	NC_035780.1
XP_022320493.1	44677699	44708738	NC_035782.1
XP_022320494.1	44677699	44698205	NC_035782.1
XP_022320495.1	44677699	44698205	NC_035782.1
XP_022320496.1	44677699	44698205	NC_035782.1
XP_022320497.1	44677699	44698205	NC_035782.1
XP_022320498.1	44677699	44731274	NC_035782.1
XP_022320499.1	73138702	73141658	NC_035782.1
XP_022320500.1	73138702	73141658	NC_035782.1
XP_022320501.1	18458839	18458839	NC_035782.1
XP_022320502.1	20460105	20462468	NC_035780.1
XP_022320503.1	59053162	59053162	NC_035782.1
XP_022320504.1	59053162	59053162	NC_035782.1
XP_022320505.1	59035410	59058892	NC_035782.1
XP_022320506.1	59035410	59058892	NC_035782.1
XP_022320507.1	59035410	59058892	NC_035782.1
XP_022320508.1	59035410	59058892	NC_035782.1
XP_022320509.1	59035410	59058892	NC_035782.1
XP_022320510.1	59035410	59058892	NC_035782.1
XP_022320511.1	59075562	59077571	NC_035782.1
XP_022320512.1	9240782	9250578	NC_035782.1
XP_022320513.1	37698611	37713453	NC_035780.1
XP_022320514.1	58734207	58736831	NC_035782.1
XP_022320515.1	58734207	58736831	NC_035782.1
XP_022320516.1	23310492	23313019	NC_035782.1
XP_022320517.1	72345020	72358239	NC_035782.1
XP_022320518.1	38710814	38713372	NC_035782.1
XP_022320519.1	38710814	38713372	NC_035782.1
XP_022320520.1	38710814	38710814	NC_035782.1
XP_022320521.1	38710814	38710814	NC_035782.1
XP_022320522.1	38706785	38707731	NC_035782.1
XP_022320523.1	67217043	67217190	NC_035782.1
XP_022320524.1	9279032	9279032	NC_035782.1
XP_022320525.1	16455716	16492314	NC_035780.1
XP_022320526.1	23782081	23803069	NC_035782.1
XP_022320527.1	23814650	23820469	NC_035782.1
XP_022320528.1	23814650	23820469	NC_035782.1
XP_022320529.1	23814971	23820469	NC_035782.1
XP_022320530.1	23805482	23809105	NC_035782.1
XP_022320531.1	23805482	23810120	NC_035782.1
XP_022320532.1	23805345	23809105	NC_035782.1
XP_022320533.1	23826725	23828424	NC_035782.1
XP_022320534.1	23826725	23828424	NC_035782.1
XP_022320535.1	23826725	23828424	NC_035782.1
XP_022320536.1	23826725	23828424	NC_035782.1
XP_022320537.1	23826725	23828424	NC_035782.1
XP_022320538.1	22868722	22879459	NC_035782.1
XP_022320539.1	53360113	53361017	NC_035780.1
XP_022320540.1	13784773	13786810	NC_035782.1
XP_022320541.1	56615311	56621713	NC_035782.1
XP_022320542.1	56615311	56621713	NC_035782.1
XP_022320543.1	56615311	56621713	NC_035782.1
XP_022320544.1	9518510	9547148	NC_035782.1
XP_022320545.1	56216353	56223655	NC_035782.1
XP_022320546.1	51584158	51602047	NC_035782.1
XP_022320547.1	51584158	51602047	NC_035782.1
XP_022320548.1	51584158	51602047	NC_035782.1
XP_022320549.1	51584158	51602047	NC_035782.1
XP_022320550.1	51584158	51602047	NC_035782.1
XP_022320551.1	51584158	51602047	NC_035782.1
XP_022320552.1	51584158	51602047	NC_035782.1
XP_022320553.1	51584158	51602047	NC_035782.1
XP_022320554.1	51587576	51602047	NC_035782.1
XP_022320555.1	51587576	51602047	NC_035782.1
XP_022320556.1	51605304	51607066	NC_035782.1
XP_022320557.1	71964905	71975514	NC_035782.1
XP_022320558.1	39003693	39009826	NC_035782.1
XP_022320559.1	36966020	36968093	NC_035782.1
XP_022320560.1	36932570	36938339	NC_035782.1
XP_022320561.1	56978717	56986894	NC_035782.1
XP_022320562.1	57810190	57813284	NC_035782.1
XP_022320563.1	49199523	49205203	NC_035782.1
XP_022320564.1	23315607	23318383	NC_035782.1
XP_022320565.1	68073758	68082790	NC_035782.1
XP_022320566.1	9911253	9915610	NC_035782.1
XP_022320567.1	52105009	52113322	NC_035782.1
XP_022320568.1	68211599	68219650	NC_035782.1
XP_022320569.1	67141919	67150639	NC_035782.1
XP_022320570.1	36252410	36283185	NC_035780.1
XP_022320571.1	67144055	67150639	NC_035782.1
XP_022320572.1	67144055	67150639	NC_035782.1
XP_022320573.1	7033648	7038252	NC_035782.1
XP_022320574.1	38267190	38267190	NC_035782.1
XP_022320575.1	9923473	9963039	NC_035782.1
XP_022320576.1	72787994	72790587	NC_035782.1
XP_022320577.1	72787994	72790217	NC_035782.1
XP_022320578.1	36252410	36283185	NC_035780.1
XP_022320579.1	9967136	9976947	NC_035782.1
XP_022320580.1	6600487	6604306	NC_035782.1
XP_022320581.1	36089144	36116401	NC_035782.1
XP_022320582.1	36089144	36116401	NC_035782.1
XP_022320583.1	14855374	14855374	NC_035782.1
XP_022320584.1	14855374	14855374	NC_035782.1
XP_022320585.1	10073055	10074602	NC_035782.1
XP_022320586.1	58623290	58642452	NC_035780.1
XP_022320587.1	36252410	36283185	NC_035780.1
XP_022320588.1	29755982	29765708	NC_035782.1
XP_022320589.1	60301333	60307383	NC_035782.1
XP_022320590.1	70761742	70773977	NC_035782.1
XP_022320591.1	18520994	18524199	NC_035782.1
XP_022320592.1	62206864	62226769	NC_035782.1
XP_022320593.1	10098662	10104300	NC_035782.1
XP_022320594.1	36252410	36283185	NC_035780.1
XP_022320595.1	73302993	73308530	NC_035782.1
XP_022320596.1	71309406	71316859	NC_035782.1
XP_022320597.1	49296468	49310028	NC_035782.1
XP_022320598.1	49300839	49310028	NC_035782.1
XP_022320599.1	49304432	49310028	NC_035782.1
XP_022320600.1	49304432	49310028	NC_035782.1
XP_022320601.1	51864675	51875958	NC_035782.1
XP_022320602.1	36252410	36283185	NC_035780.1
XP_022320603.1	10207504	10208840	NC_035782.1
XP_022320604.1	38366351	38371449	NC_035782.1
XP_022320605.1	38366351	38371449	NC_035782.1
XP_022320606.1	38371700	38376466	NC_035782.1
XP_022320607.1	38371700	38376466	NC_035782.1
XP_022320608.1	57453597	57461874	NC_035782.1
XP_022320609.1	64976814	65012136	NC_035782.1
XP_022320610.1	64976814	65012136	NC_035782.1
XP_022320611.1	36252410	36283185	NC_035780.1
XP_022320612.1	64976814	65012136	NC_035782.1
XP_022320613.1	64976814	65012136	NC_035782.1
XP_022320614.1	70119141	70156263	NC_035782.1
XP_022320615.1	70160768	70177602	NC_035782.1
XP_022320616.1	70160768	70177602	NC_035782.1
XP_022320617.1	70296508	70314740	NC_035782.1
XP_022320618.1	70296508	70314740	NC_035782.1
XP_022320619.1	70225298	70232694	NC_035782.1
XP_022320620.1	36252410	36283185	NC_035780.1
XP_022320621.1	70447550	70455878	NC_035782.1
XP_022320622.1	70447550	70455177	NC_035782.1
XP_022320623.1	70097532	70105707	NC_035782.1
XP_022320624.1	70066597	70071276	NC_035782.1
XP_022320625.1	70244909	70252385	NC_035782.1
XP_022320626.1	70179320	70187951	NC_035782.1
XP_022320627.1	70237187	70237187	NC_035782.1
XP_022320628.1	36252410	36283185	NC_035780.1
XP_022320629.1	70237187	70237187	NC_035782.1
XP_022320630.1	70419536	70419707	NC_035782.1
XP_022320631.1	19481405	19483326	NC_035782.1
XP_022320632.1	19481562	19483326	NC_035782.1
XP_022320633.1	39019352	39023661	NC_035782.1
XP_022320634.1	63498052	63504115	NC_035782.1
XP_022320635.1	63498052	63504115	NC_035782.1
XP_022320636.1	63498052	63504115	NC_035782.1
XP_022320637.1	63498052	63504115	NC_035782.1
XP_022320638.1	36258108	36258469	NC_035780.1
